K,F,F_Hopf,DeltaF,iK
0.006,0.0005631567188904,0.0005546567188904616,8.499999999938353e-06,0
0.0060757142857142,0.0005744140344809,0.0005659140344809396,8.499999999960362e-06,1
0.0061514285714285,0.0005857622435022,0.0005772622435022551,8.499999999944967e-06,2
0.0062271428571428,0.0005972011267885,0.0005887011267885142,8.499999999985733e-06,3
0.0063028571428571,0.0006087304714337001,0.0006002304714337672,8.499999999932823e-06,4
0.0063785714285714,0.0006203500706109,0.0006118500706109725,8.499999999927511e-06,5
0.0064542857142857,0.0006320597233985,0.0006235597233985729,8.499999999927077e-06,6
0.00653,0.0006438592346143,0.0006353592346143994,8.499999999900623e-06,7
0.0066057142857142,0.0006557484146563,0.0006472484146563817,8.499999999918295e-06,8
0.0066814285714285,0.0006677270793498001,0.0006592270793498237,8.499999999976408e-06,9
0.0067571428571428,0.0006797950498008,0.0006712950498008116,8.499999999988335e-06,10
0.0068328571428571,0.0006919521522556001,0.000683452152255605,8.499999999995057e-06,11
0.0069085714285714,0.0007041982179654,0.0006956982179654667,8.499999999933366e-06,12
0.0069842857142857,0.0007165330830569,0.0007080330830569193,8.499999999980745e-06,13
0.00706,0.0007289565884069,0.0007204565884069633,8.499999999936727e-06,14
0.0071357142857142,0.0007414685795231,0.0007329685795230828,8.500000000017174e-06,15
0.0072114285714285,0.0007540689064279001,0.0007455689064279694,8.499999999930655e-06,16
0.0072871428571428,0.0007667574235483,0.0007582574235483405,8.499999999959495e-06,17
0.0073628571428571,0.0007795339896079999,0.0007710339896080803,8.499999999919596e-06,18
0.0074385714285714,0.0007923984675253,0.0007838984675253777,8.499999999922307e-06,19
0.0075142857142857,0.0008053507243134,0.0007968507243134235,8.499999999976517e-06,20
0.00759,0.0008183906309849,0.0008098906309849593,8.49999999994063e-06,21
0.0076657142857142,0.00083151806246,0.0008230180624600042,8.499999999995816e-06,22
0.0077414285714285,0.0008447328974771,0.0008362328974771405,8.499999999959495e-06,23
0.0078171428571428,0.0008580350185077,0.0008495350185076869,8.500000000013054e-06,24
0.0078928571428571,0.000871424311673,0.0008629243116730148,8.49999999998519e-06,25
0.0079685714285714,0.0008849006666647,0.0008764006666647159,8.499999999984106e-06,26
0.0080442857142857,0.0008984639766674,0.0008899639766674558,8.499999999944208e-06,27
0.00812,0.0009121141382845001,0.0009036141382845614,8.499999999938678e-06,28
0.0081957142857142,0.000925851051466,0.0009173510514660296,8.499999999970337e-06,29
0.0082714285714285,0.000939674619439,0.0009311746194390277,8.499999999972288e-06,30
0.0083471428571428,0.0009535847486406,0.0009450847486406067,8.499999999993322e-06,31
0.0084228571428571,0.0009675813486526999,0.0009590813486527669,8.49999999993304e-06,32
0.0084985714285714,0.0009816643321395,0.0009731643321395367,8.499999999963398e-06,33
0.0085742857142857,0.0009958336147861,0.0009873336147861941,8.499999999905935e-06,34
0.00865,0.0010100891152403,0.0010015891152403283,8.499999999971638e-06,35
0.0087257142857142,0.0010244307550549,0.0010159307550549335,8.499999999966434e-06,36
0.0088014285714285,0.0010388584586332,0.0010303584586332515,8.499999999948436e-06,37
0.0088771428571428,0.0010533721531752,0.0010448721531752525,8.499999999947569e-06,38
0.0089528571428571,0.0010679717686259,0.001059471768625933,8.499999999966867e-06,39
0.0090285714285714,0.0010826572376252,0.0010741572376252242,8.499999999975758e-06,40
0.0091042857142857,0.0010974284954593,0.0010889284954593223,8.49999999997771e-06,41
0.00918,0.0011452854800136,0.0011037854800136498,4.1499999999950214e-05,42
0.0092557142857142,0.0011602281317271,0.0011187281317271355,4.1499999999964525e-05,43
0.0093314285714285,0.001175256393548,0.0011337563935480272,4.1499999999972765e-05,44
0.0094071428571428,0.0011903702108908,0.0011488702108908358,4.149999999996431e-05,45
0.0094828571428571,0.0012055695315947,0.0011640695315947441,4.149999999995585e-05,46
0.0095585714285714,0.0012208543058831,0.0011793543058831735,4.149999999992658e-05,47
0.0096342857142857,0.0012362244863245,0.0011947244863245443,4.1499999999955635e-05,48
0.00971,0.0012516800277942,0.0012101800277942373,4.1499999999962574e-05,49
0.0097857142857142,0.0012672208874375001,0.0012257208874375605,4.149999999993959e-05,50
0.0098614285714285,0.001282847024634,0.001241347024633986,4.1500000000013965e-05,51
0.0099371428571428,0.0012985584009621,0.0012570584009621716,4.149999999992831e-05,52
0.0100128571428571,0.0013143549801661,0.0012728549801661881,4.149999999991183e-05,53
0.0100885714285714,0.0013302367281225,0.0012887367281225887,4.14999999999114e-05,54
0.0101642857142857,0.0013462036128085,0.0013047036128085374,4.1499999999962574e-05,55
0.01024,0.0013622556042706,0.0013207556042706889,4.149999999991118e-05,56
0.0103157142857142,0.001378392674595,0.0013368926745950457,4.1499999999954334e-05,57
0.0103914285714285,0.0013946147978777,0.0013531147978777316,4.149999999996843e-05,58
0.0104671428571428,0.0014109219501963,0.0013694219501963131,4.149999999998686e-05,59
0.0105428571428571,0.0014273141095822,0.0013858141095822382,4.1499999999961706e-05,60
0.0106185714285714,0.0014437912559938,0.0014022912559937956,4.1500000000004424e-05,61
0.0106942857142857,0.0014603533712899,0.0014188533712899895,4.149999999991053e-05,62
0.01077,0.0014770004392049,0.001435500439204991,4.14999999999088e-05,63
0.0108457142857142,0.0014937324453233,0.0014522324453233662,4.1499999999933734e-05,64
0.0109214285714285,0.001510549377056,0.001469049377056067,4.1499999999933083e-05,65
0.0109971428571428,0.0015274512236167,0.0014859512236167632,4.149999999993677e-05,66
0.0110728571428571,0.0015444379759992,0.0015029379759992217,4.1499999999978186e-05,67
